"id","booking_id","performer_id","status","created_at","updated_at"
"31","13","4","Accepted","2025-01-03 20:06:08","2025-01-03 20:07:14"
"32","13","9","Accepted","2025-01-03 20:06:08","2025-01-03 20:07:37"
"33","13","12","Accepted","2025-01-03 20:06:08","2025-01-03 20:06:20"
"34","14","1","Accepted","2025-01-03 20:15:16","2025-01-04 00:30:09"
"35","14","2","Accepted","2025-01-03 20:15:16","2025-01-04 00:30:09"
"36","14","4","Accepted","2025-01-03 20:15:16","2025-01-04 00:30:09"
"37","15","4","Accepted","2025-01-04 00:31:57","2025-01-04 00:33:43"
"38","15","9","Accepted","2025-01-04 00:31:57","2025-01-04 00:33:43"
"39","15","12","Accepted","2025-01-04 00:31:57","2025-01-04 00:33:43"
"40","16","4","Accepted","2025-01-04 00:35:54","2025-01-04 00:36:01"
"41","16","9","Accepted","2025-01-04 00:35:54","2025-01-04 00:36:25"
"42","16","12","Accepted","2025-01-04 00:35:54","2025-01-04 00:36:55"
"43","17","1","Accepted","2025-01-06 14:48:56","2025-01-06 14:51:48"
"44","17","2","Accepted","2025-01-06 14:48:56","2025-01-06 14:49:55"
"45","18","5","Accepted","2025-01-06 15:28:50","2025-01-06 16:21:31"
"46","18","8","Accepted","2025-01-06 15:28:50","2025-01-06 16:21:31"
"47","19","14","Accepted","2025-01-06 16:36:08","2025-01-06 16:36:30"
"48","20","2","Accepted","2025-01-06 17:38:16","2025-01-06 17:38:23"
"49","21","13","Accepted","2025-01-06 18:14:59","2025-01-06 18:17:03"
"50","22","2","Accepted","2025-01-06 18:28:00","2025-01-06 18:28:49"
"51","22","14","Declined","2025-01-06 18:28:00","2025-01-07 10:29:24"
"52","23","15","Accepted","2025-01-06 18:52:10","2025-01-06 18:52:38"
"53","24","2","Accepted","2025-01-06 19:33:09","2025-01-06 19:34:19"
"56","27","2","Declined","2025-01-06 20:03:29","2025-01-06 20:03:50"
"57","28","2","Declined","2025-01-06 20:06:17","2025-01-06 20:06:32"
