"id","performer_id","talent_name","created_at","updated_at"
"1","2","Singer","2025-01-02 21:31:22","2025-01-02 21:31:22"
"3","3","Singer","2025-01-02 22:27:04","2025-01-02 22:27:04"
"4","4","Dancer","2025-01-02 22:29:28","2025-01-02 22:29:28"
"5","5","Dancer","2025-01-02 22:31:46","2025-01-02 22:31:46"
"7","7","Singer","2025-01-02 22:38:28","2025-01-02 22:38:28"
"8","9","Dancer","2025-01-02 22:40:15","2025-01-02 22:40:15"
"9","8","Dancer","2025-01-02 22:40:19","2025-01-02 22:40:19"
"10","10","Singer","2025-01-02 22:41:21","2025-01-02 22:41:21"
"11","11","Singer","2025-01-02 22:44:15","2025-01-02 22:44:15"
"12","12","Dancer","2025-01-02 22:47:43","2025-01-02 22:47:43"
"13","13","Singer, dancer","2025-01-06 15:21:02","2025-01-06 15:21:02"
"14","14","Singer, dancer","2025-01-06 16:32:01","2025-01-06 16:32:01"
"15","15","Singer, dancer","2025-01-06 18:39:34","2025-01-06 18:39:34"
"16","15","Singers, dancers","2025-01-06 19:01:46","2025-01-06 19:01:46"
"22","31","Singer","2025-01-15 06:45:23","2025-01-15 06:45:23"
"23","16","singer","2025-01-15 16:49:58","2025-01-15 16:49:58"
"31","1","musician","2025-01-15 17:18:53","2025-01-15 17:18:53"
"32","1","singer","2025-01-15 17:18:53","2025-01-15 17:18:53"
"33","17","DJs","2025-01-15 17:57:45","2025-01-15 17:57:45"
"34","34","Musicians","2025-01-15 18:02:42","2025-01-15 18:02:42"
"35","36","Musicians","2025-01-15 18:04:58","2025-01-15 18:04:58"
"36","38","Musicians","2025-01-15 18:06:27","2025-01-15 18:06:27"
"37","38","Bands","2025-01-15 18:06:27","2025-01-15 18:06:27"
"38","39","Dancers","2025-01-15 18:07:46","2025-01-15 18:07:46"
"39","41","Singer","2025-01-15 18:08:27","2025-01-15 18:08:27"
